row_index,url
70,http://nebula2.deanza.edu/~newton/4B/4BE1P1Spring13.jpg, skip
87,http://nebula2.deanza.edu/~newton/4B/4BE1P2F17Aft, done AMAZING so cool one of my favorite work energy problems
22,http://nebula2.deanza.edu/~newton/4B/4BE1P3Fall2015.jpg, done
41,http://nebula2.deanza.edu/~newton/4B/4BE1015.jpg, done
81,http://nebula2.deanza.edu/~newton/4B/4BE1020.jpg, done
10,http://nebula2.deanza.edu/~newton/4B/4BE1P4Winter16.jpg, done
79,http://nebula2.deanza.edu/~newton/4B/4BE1P3Fall08.jpg, done
55,http://nebula2.deanza.edu/~newton/4B/P4Fall08.jpg, skip
31,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring10.jpg, done
74,http://nebula2.deanza.edu/~newton/4B/4BE1P4Winter12.jpg, done 
93,http://nebula2.deanza.edu/~newton/4B/4BE1006.jpg, done
96,http://nebula2.deanza.edu/~newton/4B/4BE1P2Spring14.jpg, done should probably do again
69,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring13.jpg, done pretty easy
19,http://nebula2.deanza.edu/~newton/4B/4BE2P2F17Morn, skipped has magnetism and current not covered
88,http://nebula2.deanza.edu/~newton/4B/4BE1P3F17Aft, skipped has capacitance need to learn
15,http://nebula2.deanza.edu/~newton/4B/4BE1P3Winter12.jpg, done and interesting non constant volume charge density prob should redo to remember dVol integrals
89,http://nebula2.deanza.edu/~newton/4B/4BE1P1Winter17.jpg, done pretty fun problem
27,http://nebula2.deanza.edu/~newton/4B/4BE1P2fall12.jpg, why was this one hard?
25,http://nebula2.deanza.edu/~newton/4B/4BE1P2Spring13.jpg, not that bad except for evaluating the integral
60,http://nebula2.deanza.edu/~newton/4B/4BE1029.jpg, skipped capacitor
95,http://nebula2.deanza.edu/~newton/4B/4BE2P1Spring14.jpg, skipped capacitor
35,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall08.jpg, surprisingly not bad
9,http://nebula2.deanza.edu/~newton/4B/4BE1032.jpg, not bad if you recognize what to do 
3,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring10.jpg, just need to recognize that the problem isnt find E its find V
12,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall10.jpg, interesting gauss law problem: solve for qenc = 0
57,http://nebula2.deanza.edu/~newton/4B/4BE1004.jpg, skipped energy density 
